SIOCSARP: Invalid argument
arp: cannot set entry on line 68 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.1 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.11498 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.379409 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.766107 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.383519 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.306477 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.464831 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.806038 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.444102 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.227646 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.480394 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.594512 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.946583 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.286453 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.140145 Server = 10.1.1.1, Port = 50051
