SIOCSARP: Invalid argument
arp: cannot set entry on line 3 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.12 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.701375 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.020978 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.001966 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.233318 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.056974 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.173576 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.116789 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.347315 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.133375 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.425983 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.275092 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.381885 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.622216 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.144412 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.206929 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.580184 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.276014 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.24529 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.381086 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.045368 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.305802 Server = 10.1.1.12, Port = 50051
Time elapsed for request completion: 0.112678 Server = 10.1.1.12, Port = 50051
