SIOCSARP: Invalid argument
arp: cannot set entry on line 26 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.23 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.64777 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.574435 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.383798 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 1.42781 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.291307 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.305925 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.04397 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 2.26782 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.993356 Server = 10.1.1.23, Port = 50051
