SIOCSARP: Invalid argument
arp: cannot set entry on line 71 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for all child processes to finish ... 
Waiting for trigger file ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.34 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.145178 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.140832 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.100592 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.177993 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.279607 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.9089 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.137777 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.134364 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.176378 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.092493 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.460646 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.153049 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.143996 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.116469 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.044184 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.172879 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.192219 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.375182 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.185253 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.260918 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.553677 Server = 10.1.1.34, Port = 50051
