SIOCSARP: Invalid argument
arp: cannot set entry on line 49 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.34 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.524746 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.000954 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.099466 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.289804 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.124012 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.000806 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.25094 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.309123 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.613797 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.264478 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.120244 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.18429 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.18909 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.139334 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.145163 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.162871 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.033699 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.125572 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.216456 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.119918 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.220481 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.101106 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.679001 Server = 10.1.1.34, Port = 50051
