SIOCSARP: Invalid argument
arp: cannot set entry on line 92 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.23 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 1.09818 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.174791 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.60724 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.834307 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.143442 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.461632 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.147033 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 2.359 Server = 10.1.1.23, Port = 50051
Time elapsed for request completion: 0.93182 Server = 10.1.1.23, Port = 50051
