SIOCSARP: Invalid argument
arp: cannot set entry on line 108 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for all child processes to finish ... 
Waiting for trigger file ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.78 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.45048 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.214824 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.128472 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.306159 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.131952 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.368282 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.172065 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.15133 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.24006 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.276948 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.84061 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.295155 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.380017 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.915539 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.256803 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.008361 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.030274 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.003748 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.180321 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.058958 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.134824 Server = 10.1.1.78, Port = 50051
