SIOCSARP: Invalid argument
arp: cannot set entry on line 35 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.1 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.344818 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 1.07256 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.602211 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.650189 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.461349 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.302525 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.243329 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.460779 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.791837 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.787147 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 1.25951 Server = 10.1.1.1, Port = 50051
