SIOCSARP: Invalid argument
arp: cannot set entry on line 82 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for all child processes to finish ... 
Waiting for trigger file ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.34 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.145188 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.07015 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.167248 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.520102 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.006875 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.243097 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.598264 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.317339 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.150529 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.157227 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.120833 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.01618 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.248479 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.049777 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.477719 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.130555 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.222149 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.178578 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.169564 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.143159 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.200322 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.077446 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.042765 Server = 10.1.1.34, Port = 50051
