SIOCSARP: Invalid argument
arp: cannot set entry on line 101 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.1 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 1.56275 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.133479 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.820676 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.19772 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.441607 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.101315 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.11813 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.315763 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.472092 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.363632 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.451694 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.49576 Server = 10.1.1.1, Port = 50051
