SIOCSARP: Invalid argument
arp: cannot set entry on line 86 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.78 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.004331 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.314763 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.507186 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.578176 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 1.00152 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.441127 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 1.2347 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.975275 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 1.23386 Server = 10.1.1.78, Port = 50051
