SIOCSARP: Invalid argument
arp: cannot set entry on line 16 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.34 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.334361 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.054171 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.3311 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.144257 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.13178 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.752501 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.053552 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.494803 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.273561 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.446551 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.077082 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.075169 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.270795 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.051145 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.17717 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.158085 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.268086 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.208893 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.019698 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.186067 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.074723 Server = 10.1.1.34, Port = 50051
Time elapsed for request completion: 0.506028 Server = 10.1.1.34, Port = 50051
