SIOCSARP: Invalid argument
arp: cannot set entry on line 24 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.1 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.062764 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.194937 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.029037 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.401857 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.211768 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.225254 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.106957 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.171967 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.269599 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.28545 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.138116 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.702229 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.137277 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.115658 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.412599 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.376072 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.057891 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.478539 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.008343 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.168384 Server = 10.1.1.1, Port = 50051
Time elapsed for request completion: 0.27727 Server = 10.1.1.1, Port = 50051
