SIOCSARP: Invalid argument
arp: cannot set entry on line 20 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.78 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.004379 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.388595 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.391387 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.25748 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 1.41064 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.452682 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 1.26521 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 1.97487 Server = 10.1.1.78, Port = 50051
Time elapsed for request completion: 0.432717 Server = 10.1.1.78, Port = 50051
